Amazon	이름, 주소, 연락처, 이메일주소, 비밀번호, 나이, 위치정보, IP주소, 결제정보, 주소록정보, 프로필정보, 이미지·영상, 음성정보, 신원정보, 기업정보, 재무정보, 신용정보, Wi-Fi자격증명, 기기정보, 로그인정보, 콘텐츠이용정보, 서비스이용기록, 구매이력, 검색·접속기록, 쿠키·식별자, 배송정보	LARGE	미국	ECOMMERCE
Alphabet	이름, 연락처, 이메일주소, 직업정보, 관심사정보, 생년월일, 성별, 학력정보, 직업상황, 고객번호, 계약정보, 차량정보, 주행·운행정보, 환경정보, 비용정보, 계정정보, 소셜미디어계정, 쿠키·식별자, 서비스이용기록, 앱이용정보, 거래정보, 구매이력, 설문응답정보, 신원정보, 결제정보, 범죄·제재정보	LARGE	미국	PLATFORM
Meta	콘텐츠정보, 메시지내용, 오디오정보, 이미지·영상, 음성정보, 활동기록, 상호작용정보, 광고상호작용정보, 앱이용정보, 기능이용기록, 결제정보, 거래정보, 해시태그, 이용시간정보, 빈도정보, 기간정보, 셀카이미지, 셀카영상, 종교정보, 성적지향정보, 정치성향정보, 건강정보, 인종·민족정보, 신념정보, 노동조합정보, 연락처, 이메일주소, 이름, 기기정보, 기기식별자, 네트워크정보, IP주소, 위치정보, GPS위치정보, 기기설정정보, 쿠키·식별자, 성능정보, 추론정보, 추천정보	LARGE	미국	PLATFORM
IBM	이름, 이메일주소, 주소, 연락처, 계정정보, 로그인정보, 비밀번호, 직업정보, 비즈니스연락처, 조직정보, 교육·경력정보, 웹이용기록, 페이지상호작용정보, 접속URL, IP주소, 위치정보, 브라우저정보, 운영체제정보, 기기정보, 언어설정, 충돌로그, 서비스이용기록, 설정정보, 마케팅선호정보, 마케팅상호작용정보, 계약정보, 주문내역, 결제정보, 거래정보, 지원문의내용, 통화녹음·녹취, 보안로그, 악성행위정보, 신원정보, 정부발행신분증정보, 출입기록, CCTV영상, 채용정보, 직원정보, 연금정보, 비즈니스운영정보, 사기·범죄의심정보, 법적분쟁정보, 쿠키·식별자, 네트워크정보	LARGE	미국	CLOUD_SAAS
Oracle	이름, 주소, 이메일주소, 연락처, 인구통계정보, 사진, 직업정보, 교육·경력정보, 소셜미디어정보, 거래정보, 재무정보, 결제정보, 회사정보, 직책정보, 설문응답정보, 소셜미디어게시물, 통화녹음·녹취, 채팅기록, 기기식별자, 쿠키·식별자, IP주소, 위치정보, 브라우저정보, 기기정보, 운영체제정보, 앱이용정보, 화면해상도, 언어설정, 웹이용기록, 페이지상호작용정보, 광고상호작용정보, 검색·탐색기록, 다운로드기록, 보안·사기탐지정보	LARGE	미국	CLOUD_SAAS
JPMorgan Chase	이름, 이메일주소, 주소, 연락처, 계정번호, 위치정보, 사용자명, 비밀번호, 결제정보, 주민등록번호, 운전면허정보, 성별, 인종정보, 국적정보, 생체정보, 상호작용기록, 계정정보, IP주소, 운영체제정보, 브라우저정보, 유입URL, 접속기록, 이용페이지정보, 이동경로정보, 쿠키·식별자, 소셜미디어정보, 신용정보, 기기식별자, 화면해상도, 기기설정정보, 앱이용정보	LARGE	미국	FINANCE
Visa	이름, 이메일주소, 주소, 연락처, 직장정보, 직무정보, 계정정보, 결제정보, 거래내역, 카드정보, 계좌정보, 신원확인정보, 생년월일, 국적정보, 거주국가, IP주소, 위치정보, 기기정보, 기기식별자, 운영체제정보, 브라우저정보, 접속기록, 이용기록, 쿠키·식별자, 로그정보, 사기·보안관련정보, 법적요청정보, 커뮤니케이션내용	LARGE	미국	FINANCE
삼성전자	이름, 생년월일, 성별, 연락처, 이메일주소, 주소, 로그인ID, 비밀번호, 계정정보, 결제정보, 카드정보, 계좌정보, 거래내역, 구매내역, 배송정보, 서비스이용기록, 상담기록, 문의내용, 음성정보, 이미지정보, 영상정보, 위치정보, IP주소, 접속기록, 쿠키·식별자, 기기정보, 기기식별자, 운영체제정보, 브라우저정보, 로그정보, 오류기록, 광고식별자, 관심사정보, 마케팅반응정보, A/S이력, 제품정보, 시리얼번호, 보증정보, 법적요청정보	LARGE	한국	MANUFACTURING
LG전자	이름, 생년월일, 성별, 연락처, 이메일주소, 주소, 로그인ID, 비밀번호, 계정정보, 결제정보, 카드정보, 계좌정보, 거래내역, 구매내역, 배송정보, 서비스이용기록, 상담기록, 문의내용, 음성정보, 이미지정보, 영상정보, 위치정보, IP주소, 접속기록, 쿠키·식별자, 기기정보, 기기식별자, 운영체제정보, 브라우저정보, 로그정보, 오류기록, 광고식별자, 관심사정보, 마케팅반응정보, A/S이력, 제품정보, 시리얼번호, 보증정보, 법적요청정보	LARGE	한국	MANUFACTURING
POSCO	이름, 로그인ID, 비밀번호, 생년월일, 연락처, 이메일주소, 아이핀DI, 성별, 국가, 직원여부, 포스코관계정보, 계정정보, 본인식별정보, 신고작성자정보, 신고내용, 상담내용, 인권침해정보, 성희롱정보, 괴롭힘정보, 윤리위반정보, 영업비밀침해정보, 공정거래정보, 비밀유지여부	LARGE	한국	MANUFACTURING
Tencent	이름, 사용자명, 로그인ID, 이메일주소, 주소, 연락처, IP주소, 계정식별자, 앱식별자, 기기식별자, 클라우드계정ID, 신분증정보, 결제정보, 카드정보, 사진, 프로필이미지, 인증정보, 접근권한정보, 방문기록, 서비스이용기록, 접속기록, 업로드기록, 다운로드기록, 사용자에이전트정보, 구매정보, 구매일자, 지원문의기록	LARGE	중국	PLATFORM
